Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1281,b'WWF WrestleMania 2000',b'N64',1999,b'Fighting',b'THQ',1.2,0.25,0.02,0.02,1.48
1282,b'Wario Land II',b'GB',1997,b'Platform',b'Nintendo',0.7,0.35,0.39,0.04,1.48
1283,b'Mass Effect 2',b'PS3',2011,b'Role-Playing',b'Electronic Arts',0.78,0.47,0.03,0.2,1.48
1284,b'Major League Baseball 2K5',b'PS2',2005,b'Sports',b'Take-Two Interactive',0.72,0.56,0.0,0.19,1.48
1285,b'Fight Night 2004',b'PS2',2004,b'Fighting',b'Electronic Arts',1.08,0.2,0.0,0.2,1.48
1286,"b""Tom Clancy's Splinter Cell: Pandora Tomorrow""",b'XB',2004,b'Action',b'Ubisoft',0.82,0.59,0.0,0.07,1.48
1287,b'Imagine: Master Chef',b'DS',2007,b'Simulation',b'Ubisoft',0.39,0.92,0.0,0.17,1.47
1288,"b""Assassin's Creed III: Liberation""",b'PSV',2012,b'Action',b'Ubisoft',0.58,0.55,0.06,0.28,1.47
1289,b'SoulCalibur IV',b'PS3',2008,b'Fighting',b'Ubisoft',0.72,0.41,0.14,0.2,1.47
1290,b'Mario Golf',b'N64',1999,b'Action',b'Nintendo',0.62,0.18,0.65,0.02,1.47
1291,b'Disney Princess',b'GBA',2003,b'Platform',b'THQ',1.04,0.37,0.0,0.06,1.47
1292,b'Fight Night Round 3',b'X360',2006,b'Fighting',b'Electronic Arts',1.33,0.03,0.01,0.1,1.47
1293,b'Metal Gear Rising: Revengeance',b'PS3',2013,b'Action',b'Konami Digital Entertainment',0.45,0.4,0.44,0.18,1.47
1294,b'Chrono Trigger',b'DS',2008,b'Role-Playing',b'Square Enix',0.69,0.2,0.49,0.09,1.47
1295,b'Star Wars: The Force Unleashed II',b'X360',2010,b'Action',b'LucasArts',0.95,0.4,0.0,0.12,1.47
1296,b'The House of the Dead 2 & 3 Return',b'Wii',2008,b'Shooter',b'Sega',0.78,0.5,0.03,0.15,1.47
1297,b'Disney Princess: Magical Jewels',b'DS',2007,b'Adventure',b'Disney Interactive Studios',1.15,0.2,0.0,0.12,1.47
1298,b'LittleBigPlanet PS Vita',b'PSV',2012,b'Platform',b'Sony Computer Entertainment',0.4,0.72,0.02,0.33,1.47
1299,b'Xenogears',b'PS',1998,b'Role-Playing',b'SquareSoft',0.29,0.19,0.89,0.1,1.46
1300,b'The SpongeBob SquarePants Movie',b'GBA',2004,b'Platform',b'THQ',1.02,0.38,0.0,0.06,1.46
1301,"b""Tom Clancy's Ghost Recon: Future Soldier""",b'X360',2012,b'Shooter',b'Ubisoft',0.93,0.4,0.02,0.12,1.46
1302,b'Battlefield: Bad Company',b'X360',2008,b'Shooter',b'Electronic Arts',0.81,0.46,0.04,0.15,1.46
1303,b'Midway Arcade Treasures',b'PS2',2003,b'Misc',b'Midway Games',0.72,0.56,0.0,0.19,1.46
1304,b'Wall-E',b'DS',2008,b'Platform',b'THQ',0.46,0.83,0.0,0.17,1.46
1305,b'Triple Play 99',b'PS',2006,b'Sports',b'unknown',0.81,0.55,0.0,0.1,1.46
1306,b'Homefront',b'X360',2011,b'Shooter',b'THQ',0.83,0.48,0.02,0.12,1.46
1307,b'Super Monkey Ball',b'GC',2001,b'Puzzle',b'Atari',0.95,0.37,0.1,0.04,1.46
1308,b'Donkey Kong',b'2600',1981,b'Platform',b'Coleco',1.36,0.08,0.0,0.02,1.46
1309,b'Mortal Kombat 4',b'PS',1998,b'Fighting',b'GT Interactive',0.81,0.55,0.0,0.1,1.46
1310,b'Mario Superstar Baseball',b'GC',2005,b'Sports',b'Nintendo',0.93,0.24,0.25,0.04,1.46
1311,b'Mass Effect 3',b'PS3',2012,b'Role-Playing',b'Electronic Arts',0.63,0.59,0.03,0.21,1.46
1312,b'LEGO Batman 2: DC Super Heroes',b'Wii',2012,b'Action',b'Warner Bros. Interactive Entertainment',0.94,0.4,0.0,0.11,1.46
1313,b'Medal of Honor: Warfighter',b'PS3',2012,b'Action',b'Electronic Arts',0.47,0.65,0.06,0.28,1.46
1314,b'WCW vs the World',b'PS',1998,b'Fighting',b'THQ',1.17,0.2,0.04,0.05,1.46
1315,b'SNK vs. Capcom: The Match of the Millennium',b'PSP',2006,b'Fighting',b'Sega',0.53,0.58,0.0,0.35,1.46
1316,b'LEGO City Undercover',b'3DS',2013,b'Platform',b'Nintendo',0.51,0.75,0.07,0.12,1.46
1317,b'Onimusha 3: Demon Siege',b'PS2',2004,b'Action',b'Capcom',0.37,0.47,0.54,0.07,1.45
1318,b'Diablo III',b'X360',2013,b'Role-Playing',b'Activision',0.89,0.44,0.0,0.12,1.45
1319,b'Batman: Arkham Knight',b'XOne',2015,b'Action',b'Warner Bros. Interactive Entertainment',0.86,0.46,0.0,0.13,1.45
1320,b'BioShock',b'PS3',2008,b'Shooter',b'Take-Two Interactive',0.75,0.49,0.01,0.21,1.45
1321,b'Red Dead Revolver',b'PS2',2004,b'Shooter',b'Take-Two Interactive',0.71,0.55,0.0,0.19,1.45
1322,b'Anno 2070',b'PC',2011,b'Strategy',b'Ubisoft',0.0,1.13,0.0,0.32,1.45
1323,b'Resident Evil: Outbreak',b'PS2',2003,b'Action',b'Capcom',0.54,0.35,0.46,0.1,1.45
1324,b'Smarty Pants',b'Wii',2007,b'Misc',b'Electronic Arts',0.53,0.76,0.0,0.16,1.45
1325,b'Tamagotchi',b'GB',1996,b'Simulation',b'Namco Bandai Games',0.0,0.0,1.44,0.01,1.45
1326,b'4 Nin uchi Mahjong',b'NES',1984,b'Misc',b'Nintendo',0.0,0.0,1.45,0.0,1.45
1327,b'Dragon Ball Z',b'SNES',1993,b'Fighting',b'Namco Bandai Games',0.0,0.0,1.45,0.0,1.45
1328,b'Game de Hakken!! Tamagotchi 2',b'GB',1997,b'Simulation',b'Namco Bandai Games',0.0,0.0,1.44,0.01,1.45
1329,b'Namco Museum 64',b'N64',1999,b'Misc',b'Namco Bandai Games',1.24,0.17,0.03,0.01,1.45
1330,b'Hasbro Family Game Night',b'Wii',2008,b'Puzzle',b'Electronic Arts',0.97,0.34,0.0,0.13,1.45
1331,b'Dragon Quest Monsters: Joker 2',b'DS',2010,b'Role-Playing',b'Square Enix',0.11,0.08,1.24,0.02,1.45
1332,"b""Tony Hawk's American Wasteland (Weekly american sales)""",b'PS2',2005,b'Sports',b'Activision',1.38,0.05,0.0,0.02,1.45
1333,b'My Word Coach',b'DS',2007,b'Misc',b'Ubisoft',0.37,0.9,0.0,0.18,1.45
1334,b'Hello Kitty Party',b'DS',2007,b'Misc',b'Rising Star Games',0.79,0.53,0.0,0.13,1.44
1335,b'SingStar Pop',b'PS2',2007,b'Misc',b'Sony Computer Entertainment',0.04,1.08,0.0,0.32,1.44
1336,b'Sonic Rivals',b'PSP',2006,b'Racing',b'Sega',0.73,0.42,0.0,0.28,1.44
1337,b'SimCity (2013)',b'PC',2013,b'Simulation',b'Electronic Arts',0.48,0.77,0.0,0.19,1.44
1338,b'Kirby Super Star',b'SNES',1996,b'Platform',b'Nintendo',0.26,0.07,1.09,0.02,1.44
1339,b'Far Cry 4',b'PS3',2014,b'Shooter',b'Ubisoft',0.33,0.79,0.08,0.23,1.44
1340,b'WWE SmackDown vs Raw 2008',b'X360',2007,b'Fighting',b'THQ',0.92,0.38,0.0,0.13,1.44
1341,b'Kinect Joy Ride',b'X360',2010,b'Racing',b'Microsoft Game Studios',0.92,0.4,0.0,0.12,1.44
1342,b'Rayman Raving Rabbids',b'Wii',2006,b'Misc',b'Ubisoft',1.23,0.07,0.02,0.11,1.44
1343,b'Need for Speed Rivals',b'PS3',2013,b'Racing',b'Electronic Arts',0.33,0.74,0.05,0.31,1.44
1344,b'Tiger Woods PGA Tour 2005',b'PS2',2004,b'Sports',b'Electronic Arts',1.03,0.32,0.0,0.09,1.44
1345,b'Dead Space 2',b'PS3',2011,b'Shooter',b'Electronic Arts',0.73,0.5,0.0,0.21,1.44
1346,b'NCAA Football 2003',b'PS2',2002,b'Sports',b'Electronic Arts',1.16,0.08,0.0,0.19,1.44
1347,"b""Frogger 2: Swampy's Revenge""",b'PS',1999,b'Action',b'Hasbro Interactive',0.8,0.54,0.0,0.09,1.43
1348,b'Disney Infinity',b'X360',2013,b'Action',b'Disney Interactive Studios',0.96,0.37,0.0,0.11,1.43
1349,b'LEGO Indiana Jones 2: The Adventure Continues',b'Wii',2009,b'Action',b'Activision',0.91,0.39,0.0,0.13,1.43
1350,"b""Sonic's Ultimate Genesis Collection""",b'X360',2009,b'Misc',b'Sega',0.85,0.46,0.0,0.13,1.43
1351,b'Tiger Woods PGA Tour 09 All-Play',b'Wii',2008,b'Sports',b'Electronic Arts',0.81,0.48,0.0,0.14,1.43
1352,"b""Disney's DuckTales""",b'GB',1988,b'Platform',b'Capcom',0.82,0.23,0.35,0.03,1.43
1353,b'Classic NES Series: Super Mario Bros.',b'GBA',2004,b'Platform',b'Nintendo',0.0,0.0,1.39,0.03,1.43
1354,b'Triple Play 2000',b'PS',1999,b'Sports',b'Electronic Arts',0.79,0.54,0.0,0.09,1.43
1355,b'Dragon Quest VII: Warriors of Eden',b'3DS',2013,b'Role-Playing',b'Square Enix',0.07,0.04,1.3,0.01,1.42
1356,"b""Cabela's Big Game Hunter""",b'PS2',2002,b'Sports',b'Activision',0.7,0.54,0.0,0.18,1.42
1357,b'UFC Undisputed 2010',b'PS3',2010,b'Fighting',b'THQ',0.8,0.41,0.02,0.19,1.42
1358,b'NBA Live 06 (Weekly american sales)',b'PS2',2005,b'Sports',b'Electronic Arts',1.35,0.05,0.0,0.02,1.42
1359,b'The Legend of Zelda: The Minish Cap',b'GBA',2004,b'Action',b'Nintendo',0.89,0.22,0.22,0.1,1.42
1360,b'NFL Street',b'PS2',2004,b'Sports',b'Electronic Arts',1.15,0.08,0.0,0.19,1.42
1361,b'Sonic Generations',b'X360',2011,b'Platform',b'Sega',0.71,0.57,0.0,0.14,1.42
1362,b'Super Metroid',b'SNES',1994,b'Action',b'Nintendo',0.57,0.12,0.71,0.02,1.42
1363,"b""Pro Yakyuu Family Stadium '87""",b'NES',1987,b'Sports',b'Namco Bandai Games',0.12,0.0,1.3,0.0,1.42
1364,b'Dead Space',b'X360',2008,b'Action',b'Electronic Arts',0.89,0.4,0.0,0.13,1.42
1365,b'Resident Evil (Remake)',b'GC',2002,b'Action',b'Capcom',0.63,0.38,0.35,0.05,1.42
1366,b'Inazuma Eleven 2',b'DS',2009,b'Role-Playing',b'Nintendo',0.0,0.21,1.18,0.03,1.42
1367,b'Tomb Raider (2013)',b'PS4',2014,b'Action',b'Square Enix',0.47,0.64,0.06,0.25,1.41
1368,b'LEGO Star Wars II: The Original Trilogy',b'PSP',2006,b'Action',b'LucasArts',0.58,0.51,0.0,0.32,1.41
1369,b'Toy Story 3: The Video Game',b'Wii',2010,b'Action',b'Disney Interactive Studios',0.64,0.63,0.0,0.14,1.41
1370,b'Fight Night Round 4',b'X360',2009,b'Fighting',b'Electronic Arts',0.95,0.34,0.0,0.13,1.41
1371,b'LEGO Star Wars: The Video Game',b'GC',2005,b'Action',b'Eidos Interactive',1.09,0.28,0.0,0.04,1.41
1372,b'Injustice: Gods Among Us',b'X360',2013,b'Fighting',b'Warner Bros. Interactive Entertainment',0.97,0.34,0.0,0.11,1.41
1373,b'Madden NFL 15',b'PS3',2014,b'Sports',b'Electronic Arts',1.07,0.15,0.0,0.19,1.41
1374,"b""Disney's The Lion King""",b'GEN',1994,b'Platform',b'Virgin Interactive',0.97,0.37,0.03,0.05,1.41
1375,b'Ridge Racer',b'PSP',2004,b'Racing',b'Sony Computer Entertainment',0.36,0.45,0.32,0.28,1.41
1376,b'Metroid: Other M',b'Wii',2010,b'Action',b'Nintendo',0.87,0.31,0.13,0.1,1.41
1377,b'Knockout Kings 2000',b'PS',1999,b'Fighting',b'Electronic Arts',1.02,0.34,0.0,0.05,1.41
1378,b'Gran Turismo 4 Prologue',b'PS2',2003,b'Racing',b'Sony Computer Entertainment',0.0,0.47,0.77,0.17,1.41
1379,b'Twisted Metal: Black',b'PS2',2001,b'Racing',b'Sony Computer Entertainment',1.19,0.17,0.0,0.05,1.41
1380,b'NASCAR 2005: Chase for the Cup',b'PS2',2004,b'Racing',b'Electronic Arts',0.69,0.54,0.0,0.18,1.41
1381,b'Call of Duty: Black Ops',b'Wii',2010,b'Shooter',b'Activision',0.82,0.47,0.0,0.12,1.4
1382,b'Spider-Man: The Movie',b'XB',2002,b'Action',b'Activision',1.07,0.28,0.0,0.05,1.4
1383,b'Need For Speed: Undercover',b'PS2',2008,b'Racing',b'Electronic Arts',0.38,0.08,0.03,0.93,1.4
1384,b'2Xtreme',b'PS',1996,b'Sports',b'Sony Computer Entertainment',1.15,0.2,0.0,0.05,1.4
1385,b'Far Cry 2',b'PS3',2008,b'Action',b'Ubisoft',0.43,0.7,0.01,0.27,1.4
1386,b'Sonic Advance 3',b'GBA',2004,b'Platform',b'THQ',0.74,0.52,0.08,0.06,1.4
1387,b'Final Fantasy III',b'NES',1990,b'Role-Playing',b'SquareSoft',0.0,0.0,1.39,0.01,1.4
1388,b'Battlefield 4',b'PC',2013,b'Shooter',b'Electronic Arts',0.38,0.86,0.0,0.16,1.4
1389,b'Colin McRae Rally 3',b'PS2',2002,b'Racing',b'Codemasters',0.03,1.05,0.02,0.3,1.4
1390,b'Madden NFL 2002',b'PS',2001,b'Sports',b'Electronic Arts',0.78,0.53,0.0,0.09,1.39
1391,b'Doom (2016)',b'PS4',2016,b'Shooter',b'Bethesda Softworks',0.49,0.66,0.02,0.22,1.39
1392,b'Final Fantasy XII: Revenant Wings',b'DS',2007,b'Role-Playing',b'Square Enix',0.34,0.42,0.54,0.1,1.39
1393,b'Bakugan: Battle Brawlers',b'DS',2009,b'Action',b'Activision',1.27,0.02,0.0,0.09,1.39
1394,b'Deus Ex: Human Revolution',b'PS3',2011,b'Shooter',b'Square Enix',0.5,0.6,0.07,0.23,1.39
1395,b'NBA Jam',b'SNES',1994,b'Sports',b'Acclaim Entertainment',1.19,0.16,0.0,0.03,1.39
1396,b'Teenage Mutant Ninja Turtles III: The Manhattan Project',b'NES',1991,b'Action',b'Konami Digital Entertainment',1.05,0.17,0.15,0.02,1.39
1397,b'Dynasty Warriors 5',b'PS2',2005,b'Action',b'Tecmo Koei',0.24,0.18,0.91,0.06,1.39
1398,b'Hannah Montana: Spotlight World Tour',b'Wii',2007,b'Action',b'Disney Interactive Studios',0.87,0.38,0.0,0.13,1.39
1399,"b""WWE '13""",b'PS3',2012,b'Action',b'THQ',0.51,0.62,0.0,0.26,1.39
1400,b'Deus Ex: Human Revolution',b'X360',2011,b'Shooter',b'Square Enix',0.76,0.48,0.02,0.12,1.39
1401,b'True Crime: Streets of LA',b'XB',2003,b'Action',b'Activision',0.96,0.37,0.0,0.05,1.38
1402,b'The Sims 2',b'PSP',2005,b'Simulation',b'Electronic Arts',0.49,0.56,0.0,0.33,1.38
1403,b'Paper Mario',b'N64',2000,b'Role-Playing',b'Nintendo',0.58,0.18,0.59,0.02,1.38
1404,b'Bravely Default: Flying Fairy',b'3DS',2012,b'Role-Playing',b'Nintendo',0.5,0.32,0.49,0.07,1.38
1405,b'Titanfall',b'X360',2014,b'Shooter',b'Electronic Arts',0.87,0.38,0.02,0.11,1.38
1406,b'Duke Nukem: Time to Kill',b'PS',1998,b'Shooter',b'Take-Two Interactive',0.77,0.54,0.0,0.07,1.38
1407,b'Persona 4: Golden',b'PSV',2012,b'Role-Playing',b'Atlus',0.46,0.34,0.38,0.21,1.38
1408,b'Dead Rising 2',b'PS3',2010,b'Action',b'Capcom',0.43,0.57,0.15,0.22,1.38
1409,b'Hasbro Family Game Night 2',b'Wii',2009,b'Misc',b'Electronic Arts',0.71,0.53,0.0,0.13,1.38
1410,b'Disney Princess: Enchanted Journey',b'Wii',2007,b'Adventure',b'Disney Interactive Studios',1.24,0.04,0.0,0.09,1.38
1411,b'Gardening Mama',b'DS',2009,b'Puzzle',b'505 Games',0.8,0.43,0.01,0.13,1.38
1412,b'Dave Mirra Freestyle BMX 2',b'PS2',2001,b'Sports',b'Acclaim Entertainment',0.67,0.53,0.0,0.18,1.38
1413,b'Need for Speed: The Run',b'X360',2011,b'Action',b'Electronic Arts',0.63,0.58,0.0,0.15,1.38
1414,b'LEGO Indiana Jones: The Original Adventures',b'PS2',2008,b'Action',b'LucasArts',0.6,0.01,0.0,0.76,1.37
1415,"b""Assassin's Creed: Rogue""",b'PS3',2014,b'Action',b'Ubisoft',0.46,0.62,0.06,0.23,1.37
1416,b'Ridge Racer 7',b'PS3',2006,b'Racing',b'Namco Bandai Games',0.24,0.7,0.16,0.26,1.37
1417,b'A Collection of Activision Classic Games for the Atari 2600',b'PS',1998,b'Misc',b'Activision',0.76,0.52,0.0,0.09,1.37
1418,b'Forza Horizon 2',b'XOne',2014,b'Racing',b'Microsoft Game Studios',0.5,0.78,0.01,0.09,1.37
1419,b'MotorStorm: Pacific Rift',b'PS3',2008,b'Racing',b'Sony Computer Entertainment',0.43,0.67,0.02,0.26,1.37
1420,b'Sonic Colors',b'DS',2010,b'Platform',b'Sega',0.74,0.5,0.01,0.13,1.37
1421,b'Star Wars Knights of the Old Republic II: The Sith Lords',b'XB',2004,b'Role-Playing',b'Activision',0.99,0.33,0.0,0.05,1.37
1422,b'LEGO Harry Potter: Years 1-4',b'PS3',2010,b'Action',b'Warner Bros. Interactive Entertainment',0.55,0.6,0.0,0.22,1.37
1423,b'Pocket Monsters Stadium',b'N64',1998,b'Strategy',b'Nintendo',0.0,0.0,1.37,0.0,1.37
1424,b'NBA 2K15',b'PS3',2014,b'Sports',b'Take-Two Interactive',0.86,0.27,0.02,0.22,1.36
1425,"b""Tom Clancy's Ghost Recon 2""",b'XB',2004,b'Shooter',b'Ubisoft',0.86,0.45,0.0,0.06,1.36
1426,b'Crash Bandicoot 2: N-Tranced',b'GBA',2003,b'Platform',b'Vivendi Games',0.63,0.66,0.0,0.07,1.36
1427,b'Burnout Paradise',b'X360',2008,b'Racing',b'Electronic Arts',0.63,0.58,0.01,0.15,1.36
1428,b'SingStar Abba',b'PS2',2008,b'Misc',b'Sony Computer Entertainment',0.23,0.04,0.0,1.09,1.36
1429,b'Gradius',b'NES',1986,b'Shooter',b'Konami Digital Entertainment',0.27,0.08,1.0,0.01,1.36
1430,b'Dragon Quest III: Soshite Densetsu e...',b'SNES',1996,b'Role-Playing',b'Enix Corporation',0.0,0.0,1.36,0.0,1.36
1431,b'Centipede',b'2600',1981,b'Shooter',b'Atari',1.26,0.08,0.0,0.01,1.36
1432,"b""Yoshi's New Island""",b'3DS',2014,b'Platform',b'Nintendo',0.47,0.51,0.28,0.09,1.36
1433,b'Ryse: Son of Rome',b'XOne',2013,b'Action',b'Microsoft Game Studios',0.82,0.42,0.0,0.11,1.36
1434,b'Dead to Rights',b'PS2',2002,b'Shooter',b'Electronic Arts',0.67,0.52,0.0,0.17,1.36
1435,b'LEGO Harry Potter: Years 5-7',b'Wii',2006,b'Action',b'Warner Bros. Interactive Entertainment',0.76,0.47,0.0,0.13,1.36
1436,b'Marvel vs. Capcom 3: Fate of Two Worlds',b'PS3',2011,b'Fighting',b'Capcom',0.81,0.29,0.11,0.14,1.35
1437,b'Dance Dance Revolution (Japan)',b'PS',1999,b'Simulation',b'Konami Digital Entertainment',0.0,0.0,1.26,0.09,1.35
1438,b'F1 2010',b'PS3',2010,b'Racing',b'Codemasters',0.25,0.76,0.08,0.27,1.35
1439,b'Madden NFL 98',b'PS',1997,b'Sports',b'Electronic Arts',1.29,0.03,0.0,0.03,1.35
1440,b'FIFA Soccer 09',b'PSP',2008,b'Sports',b'Electronic Arts',0.23,0.73,0.02,0.37,1.35
1441,b'Namco Museum DS',b'DS',2007,b'Misc',b'Atari',1.18,0.01,0.06,0.09,1.35
1442,b'FIFA Soccer 08',b'PSP',2007,b'Sports',b'Electronic Arts',0.2,0.76,0.0,0.39,1.35
1443,b'Grand Theft Auto: Chinatown Wars',b'DS',2009,b'Action',b'Take-Two Interactive',0.59,0.57,0.05,0.14,1.35
1444,b'Alan Wake',b'X360',2010,b'Action',b'Microsoft Game Studios',0.66,0.51,0.05,0.13,1.35
1445,b'Battlefield: Bad Company',b'PS3',2008,b'Shooter',b'Electronic Arts',0.76,0.36,0.05,0.18,1.35
1446,b'Mortal Kombat X',b'XOne',2015,b'Fighting',b'Warner Bros. Interactive Entertainment',1.0,0.21,0.0,0.13,1.35
1447,b'Samurai Warriors',b'PS2',2004,b'Action',b'Electronic Arts',0.22,0.05,1.06,0.02,1.35
1448,b'The Simpsons: Hit & Run',b'XB',2003,b'Racing',b'Vivendi Games',0.7,0.58,0.0,0.07,1.35
1449,b'Devil May Cry 4',b'X360',2008,b'Action',b'Capcom',0.79,0.34,0.08,0.13,1.35
1450,"b""Tom Clancy's Rainbow Six: Vegas 2""",b'PS3',2008,b'Shooter',b'Ubisoft',0.66,0.45,0.04,0.21,1.35
1451,b'Monster Hunter Freedom',b'PSP',2005,b'Role-Playing',b'Capcom',0.24,0.04,1.03,0.04,1.35
1452,b'Crysis 2',b'X360',2011,b'Action',b'Electronic Arts',0.7,0.5,0.02,0.12,1.35
1453,b'SaGa Frontier',b'PS',1997,b'Role-Playing',b'SquareSoft',0.15,0.04,1.07,0.09,1.35
1454,b'SingStar Party',b'PS2',2004,b'Misc',b'Sony Computer Entertainment',0.0,1.04,0.0,0.31,1.35
1455,b'FIFA Soccer 08',b'X360',2007,b'Sports',b'Electronic Arts',0.31,0.89,0.01,0.14,1.35
1456,b'The ICO & Shadow of the Colossus Collection',b'PS3',2011,b'Adventure',b'Sony Computer Entertainment',0.67,0.37,0.13,0.17,1.35
1457,b'Test Drive',b'PS2',2002,b'Racing',b'Atari',0.95,0.21,0.01,0.18,1.34
1458,b'Mario & Luigi: Partners in Time',b'DS',2005,b'Role-Playing',b'Nintendo',0.77,0.07,0.43,0.08,1.34
1459,b'Lost Planet: Extreme Condition',b'X360',2006,b'Shooter',b'Capcom',1.09,0.04,0.1,0.11,1.34
1460,b'Mortal Kombat 3',b'GEN',1994,b'Fighting',b'Acclaim Entertainment',1.03,0.27,0.0,0.04,1.34
1461,b'Doom 3',b'XB',2005,b'Shooter',b'Activision',0.85,0.43,0.0,0.06,1.34
1462,b'Donkey Kong Jungle Beat',b'GC',2004,b'Platform',b'Nintendo',0.84,0.22,0.24,0.04,1.34
1463,b'Need for Speed Carbon',b'PS2',2006,b'Racing',b'Electronic Arts',1.22,0.05,0.05,0.01,1.34
1464,b'Max Payne 2: The Fall of Max Payne',b'PS2',2003,b'Shooter',b'Take-Two Interactive',0.65,0.51,0.0,0.17,1.34
1465,b'Command & Conquer: Red Alert 2',b'PC',2000,b'Strategy',b'Electronic Arts',1.32,0.02,0.0,0.0,1.34
1466,b'MVP Baseball 2004',b'PS2',2004,b'Sports',b'Electronic Arts',1.1,0.06,0.0,0.18,1.34
1467,b'WWE SmackDown vs Raw 2008',b'PS3',2007,b'Fighting',b'THQ',0.62,0.5,0.01,0.21,1.33
1468,b'Ratchet & Clank: Up Your Arsenal (Weekly american sales)',b'PS2',2004,b'Platform',b'Sony Computer Entertainment',1.27,0.05,0.0,0.02,1.33
1469,b'Your Shape: Fitness Evolved',b'X360',2010,b'Sports',b'Ubisoft',0.79,0.42,0.0,0.11,1.33
1470,b'Rage',b'PS3',2011,b'Shooter',b'Bethesda Softworks',0.47,0.59,0.06,0.21,1.33
1471,b'Skylanders SWAP Force',b'X360',2013,b'Platform',b'Activision',0.86,0.36,0.0,0.11,1.33
1472,b'NBA 2K14',b'PS4',2013,b'Sports',b'Take-Two Interactive',0.89,0.31,0.01,0.12,1.33
1473,b'Spider-Man: The Movie',b'GBA',2002,b'Action',b'Activision',0.92,0.35,0.01,0.05,1.33
1474,b'WWF War Zone',b'N64',1998,b'Fighting',b'Acclaim Entertainment',1.08,0.24,0.0,0.02,1.33
1475,"b""Tony Hawk's Pro Skater""",b'GB',2000,b'Sports',b'Activision',0.9,0.38,0.01,0.05,1.33
1476,"b""The Sims: Bustin' Out""",b'GBA',2003,b'Simulation',b'Electronic Arts',0.93,0.35,0.0,0.06,1.33
1477,b'Triple Play 2001',b'PS',2000,b'Sports',b'Electronic Arts',0.74,0.5,0.0,0.09,1.33
1478,b'Metroid Prime 2: Echoes',b'GC',2004,b'Shooter',b'Nintendo',0.87,0.35,0.07,0.04,1.33
1479,b'UFC Undisputed 2010',b'X360',2010,b'Fighting',b'THQ',0.9,0.31,0.0,0.11,1.33
1480,b'Final Fantasy X / X-2 HD Remaster',b'PS3',2013,b'Role-Playing',b'Square Enix',0.43,0.4,0.32,0.18,1.33
1481,b'Corvette',b'PS2',2004,b'Racing',b'TDK Mediactive',0.65,0.51,0.0,0.17,1.33
1482,b'Petz Wild Animals: Dolphinz',b'DS',2007,b'Simulation',b'Ubisoft',0.71,0.48,0.0,0.13,1.33
1483,b'Pokemon Ranger: Guardian Signs',b'DS',2010,b'Role-Playing',b'Nintendo',0.51,0.17,0.58,0.06,1.33
1484,b'Middle-Earth: Shadow of Mordor',b'XOne',2014,b'Action',b'Warner Bros. Interactive Entertainment',0.72,0.5,0.01,0.1,1.32
1485,b'Need for Speed Underground Rivals',b'PSP',2005,b'Racing',b'Electronic Arts',0.69,0.38,0.02,0.24,1.32
1486,b'LEGO Batman: The Videogame',b'PS3',2008,b'Action',b'Warner Bros. Interactive Entertainment',0.72,0.42,0.0,0.19,1.32
1487,b'Dark Souls II',b'PS3',2014,b'Role-Playing',b'Namco Bandai Games',0.4,0.36,0.4,0.17,1.32
1488,b'World of Warcraft: Wrath of the Lich King',b'PC',2008,b'Role-Playing',b'Activision',0.01,0.13,0.0,1.18,1.32
1489,b'Kingdom Hearts II',b'PS3',2014,b'Role-Playing',b'Square Enix',0.52,0.43,0.18,0.19,1.32
1490,b'The LEGO Movie Videogame',b'X360',2014,b'Action',b'Warner Bros. Interactive Entertainment',0.69,0.52,0.0,0.11,1.32
1491,b'TOCA 2: Touring Cars',b'PS',1998,b'Racing',b'Codemasters',0.03,1.16,0.02,0.11,1.32
1492,b'Gyromite',b'NES',1985,b'Puzzle',b'Nintendo',0.73,0.16,0.4,0.03,1.32
1493,b'NFL 2K3',b'PS2',2002,b'Sports',b'Atari',1.06,0.08,0.0,0.18,1.32
1494,b'Fighting Force',b'PS',1997,b'Fighting',b'Eidos Interactive',0.73,0.5,0.0,0.09,1.32
1495,b'Mega Man Battle Network 4: Red Sun / Blue Moon',b'GBA',2003,b'Role-Playing',b'Capcom',0.31,0.04,0.96,0.01,1.32
1496,b'MAG: Massive Action Game',b'PS3',2010,b'Shooter',b'Sony Computer Entertainment',0.77,0.3,0.09,0.16,1.32
1497,b'Madden NFL 97',b'PS',1996,b'Sports',b'Electronic Arts',0.73,0.5,0.0,0.09,1.32
1498,b'Cars 2',b'DS',2011,b'Racing',b'Disney Interactive Studios',0.72,0.44,0.04,0.12,1.32
1499,b'Skylanders Giants',b'X360',2012,b'Action',b'Activision',0.75,0.45,0.0,0.11,1.32
1500,b'LEGO Batman: The Videogame',b'PSP',2006,b'Action',b'Warner Bros. Interactive Entertainment',0.57,0.46,0.0,0.28,1.32
1501,b'TNN Motor Sports Hardcore 4x4',b'PS',1996,b'Racing',b'ASC Games',0.73,0.5,0.0,0.09,1.31
1502,b'IHRA Drag Racing 2',b'PS2',2002,b'Racing',b'Bethesda Softworks',0.64,0.5,0.0,0.17,1.31
1503,b'The Beatles: Rock Band',b'X360',2009,b'Misc',b'MTV Games',0.97,0.23,0.0,0.11,1.31
